tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
NUIP,7560516784,Luis Castaneda,14111961,91,55,91,95,0
CC REC,7036594977,Marcela Cifuentes,02111929,66,79,66,3,0
MTR,1520830651,Melissa Martínez,08061996,97,32,97,94,1
CC PV,2093878320,Marcela Hernández,05071929,54,62,54,55,0
CC DUP,2654221427,Luis Hurtado,24071934,25,32,25,34,0
ANI,8076241832,María Martínez,25051977,86,90,86,22,1
MTR,6335807031,Daniela Rodríguez,12012004,70,35,70,67,1
ANI,1704010374,Luis Hurtado,17071950,66,32,66,29,1
NIP,8238565662,Gabriela Cartagena,27071982,91,65,91,68,1
SIC,6058014312,Melissa Perez,27121984,18,40,18,32,1
MTR,4608625996,Carlos Rodríguez,21111965,91,79,91,36,0
CC DIG,0334504536,Luis Hernández,26021964,85,13,85,30,1
ABIS,5302802072,María Hernández,21021942,50,50,50,45,1
ABIS,2471346371,María López,28091961,81,35,81,58,0
EIS,6587955877,Gabriela Castaneda,02081987,23,54,23,95,0
CC,9850258650,Manuela Hernández,19031978,25,55,25,74,1
CC REC,5425984411,Gabriela López,26021956,66,38,66,21,0
NIP,1438471555,Melissa Hurtado,01112009,25,74,25,6,1
TI DUP,7615106415,Gabriela García,13111945,19,36,19,32,1
CC,5192112315,Luis Cartagena,16111942,85,26,85,35,0
CC PV,0259520376,Marcela Cartagena,23072004,97,53,97,53,0
TI,6298247145,Ana Castaneda,23111941,50,6,50,100,0
CCT,5422889914,Manuela Perez,04091976,86,45,86,90,1
CC REN,2836374386,María González,19071957,47,2,47,2,0
AFIS,9876001039,Juan Martínez,03011996,20,11,20,16,1
NUIP,0954228468,Gabriela Rodríguez,27111972,25,87,25,68,1
CC REC,6084607975,Juan García,23071992,47,54,47,73,0
ANI,8200114553,Marcela Castaneda,25121951,50,55,50,30,0
CC DIG,0864676998,Laura García,06091997,52,2,52,45,0
SITAC,4338266629,Marcela Cartagena,27031938,85,36,85,29,0
ABIS,1391745638,Marcela Cifuentes,11022005,17,77,17,86,1
TI PV,4221574659,Gabriela Cifuentes,16081949,17,62,17,24,0
TI REC,0007313542,Juan Castaneda,20021946,91,88,91,6,1
TI,0250155335,Daniela Hernández,19092009,91,79,91,58,0
ABIS,7384678473,Sofía Martínez,20121933,23,87,23,32,1
CC REC,6175775623,Laura Martínez,25071984,19,90,19,32,1
CC PV,3090134543,Sofía Hernández,28051942,17,22,17,87,1
AFIS,0163240075,Carlos López,12031971,5,86,5,86,0
CC PV,1361473376,Marcela López,12041942,50,36,50,3,1
HLED-WEB,0947396451,Laura Cifuentes,13021974,63,30,63,16,1
CC REN,9174704453,Luis Castaneda,06041963,23,86,23,22,0
TI REN,2820909298,Gabriela Cartagena,19121942,20,19,20,35,1
TI REN,6971192895,Gabriela Perez,15121929,81,32,81,16,0
TI REN,6884204379,Juan Perez,16032001,27,99,27,88,0
CC PV,0040501633,Manuela González,04101984,8,44,8,24,0
HLED-WEB,5375133618,Manuela Perez,28061941,11,41,11,55,1
SIC,2648208872,Ana Rodríguez,28011930,20,55,20,98,0
CCT,6106477722,David García,02071986,8,87,8,53,0
DCU,9173751234,Sofía López,13071993,86,79,86,6,1
HLED-WEB,4177644482,Carlos Perez,04041924,8,35,8,32,1
TI REC,7356807151,Melissa Hurtado,27061963,76,98,76,54,1
MTR,5873975302,Ana Perez,01091930,27,31,27,32,1
NUIP,8002976687,Miguel García,12101962,95,43,95,92,0
MTR,0703145839,Daniela Castaneda,26091994,85,51,85,16,0
CC,0805000272,Melissa Murillo,11111983,81,91,81,41,1
AFIS,6725978856,Miguel Rodríguez,28051965,95,20,95,44,0
EIS,7066288291,Luis García,19071971,70,83,70,58,1
CC DIG,7954451773,David Murillo,20051926,68,52,68,29,1
NUIP,8434504014,Laura Hurtado,12091991,8,11,8,51,1
DCU,0660982150,Daniela Rodríguez,17061934,25,44,25,65,0
AFIS,4788378732,Luis Perez,23071946,86,3,86,100,1
TI DUP,6060393258,Daniela Martínez,04021936,5,15,5,45,1
AFIS,1964095032,Laura López,26101936,73,24,73,11,1
SITAC,9623316714,Marcela Murillo,14051981,5,77,5,65,1
TI REC,6715040464,Gabriela Martínez,04111994,5,38,5,15,0
NIP,8900490300,Manuela Martínez,21061943,41,98,41,19,0
CC,3223039709,Manuela Cifuentes,23051963,25,25,25,79,0
TI,4479439558,Juan Rodríguez,14031997,25,99,25,25,1
NIP,5348927265,Laura Martínez,19021988,86,21,86,100,0
CC REC,3039787986,Melissa López,23022009,68,22,68,36,0
TI,8273629334,Manuela Castaneda,21061961,91,24,91,88,1
NIP,4164736640,María García,16081976,81,62,81,91,1
TI,6355355055,Marcela Perez,05081998,70,47,70,31,0
ABIS,7155052097,Gabriela García,13061984,94,99,94,3,0
TI,2493166027,Marcela Martínez,26061997,52,92,52,75,0
CC,6001315546,Sofía Castaneda,28041968,73,86,73,60,1
CC REN,0405102909,Miguel Martínez,17081929,76,92,76,73,0
ABIS,0396233058,Sofía Rodríguez,21051970,91,19,91,67,0
CCT,2677663675,Ana Hernández,20091934,17,97,17,1,1
CC REC,1869124572,Gabriela Martínez,22091937,20,6,20,40,1
DCU,5716793712,Laura Murillo,24101971,91,35,91,25,1
TI REC,3080104063,Carlos Cartagena,22051908,99,92,99,44,0
TI,0194178071,Carlos Martínez,04051978,81,99,81,34,0
DCU,0134713447,David López,08041924,18,43,18,6,1
TI DUP,7211097633,Luis Castaneda,08012007,76,35,76,45,0
SIC,6963290559,Gabriela Martínez,25031999,95,1,95,93,1
CC PV,8623636746,Sofía Castaneda,18111925,88,74,88,62,1
HLED-WEB,3762948359,David Hernández,14101938,66,91,66,22,0
NUIP,7746946934,Gabriela Martínez,13091970,15,59,15,19,1
ABIS,8281834454,Miguel Castaneda,04111968,94,90,94,40,1
CCT,4476181025,Sofía Cifuentes,16111936,44,13,44,34,1
AFIS,7347742765,Manuela Castaneda,06011971,20,52,20,6,0
TI REN,9809240261,Juan Hernández,11071972,25,6,25,47,1
CCT,3004444226,María García,26042000,88,34,88,93,0
CC DIG,8798972730,Laura García,03121948,13,75,13,67,0
CC REC,1823262140,Melissa Castaneda,06041969,73,25,73,83,0
MTR,5776913080,Gabriela Murillo,06111957,68,52,68,44,1
EIS,2856740107,David Castaneda,16022004,73,52,73,3,0
DCU,7917141275,Sofía González,19091945,25,41,25,94,1
ANI,0344294639,Laura López,01011931,99,21,99,97,0
CC REC,2679197428,Laura Murillo,09061953,52,22,52,6,0
DCU,2029912329,Laura Rodríguez,28051939,95,93,95,81,0
ANI,7621867619,David Martínez,12031971,50,87,50,60,1
CC DUP,3911291971,Carlos Cifuentes,11091924,47,95,47,91,0
TI REN,1036910924,Marcela Cartagena,18101991,91,74,91,22,0
CC REN,9079602260,David Murillo,04061976,25,77,25,47,1
MTR,5177718372,María Hernández,17121987,73,92,73,31,1
CC REN,1254167321,Manuela Cifuentes,25061929,86,62,86,11,0
CCT,8775502143,Melissa Cifuentes,06051975,76,62,76,86,1
CCT,7163190440,Manuela Cartagena,17081937,95,54,95,53,1
TI DUP,6739181265,María Cifuentes,01121952,91,38,91,86,0
CC,5446747899,Manuela Hernández,24071984,8,1,8,60,1
HLED-WEB,3382290283,María Hernández,09101952,41,6,41,55,1
EIS,9363682201,Juan Hurtado,03051975,44,47,44,47,0
ABIS,6956812478,David Castaneda,27041939,94,55,94,83,0
CC DUP,1576531780,María Perez,04011978,25,100,25,40,0
SITAC,6908038814,Melissa Hernández,07021918,73,41,73,74,1
NUIP,2916705306,Ana López,20011980,41,99,41,38,1
DCU,7977473265,Sofía Hurtado,01091927,86,65,86,31,0
ABIS,4640901886,Gabriela Castaneda,06111943,23,81,23,88,1
NUIP,7483539297,Manuela Cifuentes,25021954,5,22,5,67,0
TI DUP,9339341308,María Martínez,16011968,8,59,8,2,0
TI REN,5884690968,Laura Perez,18071943,52,58,52,20,1
NIP,5646260356,David Cifuentes,13091977,47,99,47,41,1
MTR,2636117178,María Hernández,13121976,52,24,52,67,1
TI REN,8490740558,María González,21061926,13,24,13,92,0
CC REN,9358573045,Manuela Castaneda,19091926,91,73,91,59,1
HLED-WEB,6609157906,Ana Perez,14041960,85,99,85,75,0
TI PV,7755298076,Sofía Murillo,12031986,99,53,99,34,1
TI DUP,0580985538,Daniela Murillo,25101994,19,75,19,91,1
TI REC,4193359783,Marcela González,01122004,44,54,44,3,1
NIP,3154699527,Marcela Cartagena,08042006,70,68,70,6,0
TI REN,3453827053,Miguel Hernández,24121993,85,10,85,20,1
MTR,7772110174,Juan Cartagena,25091939,15,83,15,92,1
CC DUP,5866206543,Luis Hernández,02062007,99,79,99,11,0
CC,6024147774,Luis Castaneda,17041989,27,98,27,50,1
TI REN,8677114381,Miguel López,06071935,5,20,5,42,1
TI REN,0489306717,Melissa Cartagena,10042003,66,47,66,43,0
TI REC,2752691623,Laura García,15051956,70,25,70,88,1
CC PV,8142565513,Manuela Murillo,04011938,50,40,50,4,0
TI DUP,6338851816,Sofía Murillo,24091970,99,22,99,97,1
TI,8961944567,Juan Rodríguez,01051963,27,100,27,94,1
SIC,0645089637,Gabriela Hurtado,18111992,11,97,11,4,1
HLED-WEB,6806913634,Miguel Hurtado,23071984,17,60,17,30,0
CC REC,9299284940,Sofía Murillo,13011974,66,13,66,52,0
TI PV,7087212342,María Martínez,02101961,97,16,97,75,1
TI PV,1331233156,Laura García,23122009,19,44,19,68,1
TI REN,3059191397,Melissa Castaneda,14101949,76,83,76,59,0
TI REN,5920254954,Marcela Murillo,23111952,18,77,18,41,1
NIP,3799026690,Daniela Cartagena,09062023,19,45,19,53,0
NUIP,6529838222,Marcela Murillo,06111944,95,50,95,68,0
SITAC,5021285913,Daniela Perez,01031996,63,1,63,99,1
CC DUP,5366543511,Juan Perez,20062003,94,30,94,34,1
NIP,2638987417,Ana López,15051987,23,6,23,53,1
NIP,3364712230,David Hurtado,04012002,76,40,76,29,0
HLED-WEB,6991565093,Gabriela Cifuentes,20091969,11,52,11,47,0
SITAC,9315931729,Laura Hurtado,02011979,52,74,52,26,0
CC REC,1630239086,Luis Perez,18121972,8,21,8,93,0
DCU,2970652939,David Cifuentes,06071983,23,22,23,73,1
ANI,5548673302,David Rodríguez,25101997,52,51,52,65,1
AFIS,4735177177,David Murillo,24012000,23,20,23,95,1
TI REN,3023339821,Melissa López,09091959,23,41,23,55,1
CC REN,3143786487,Daniela Hurtado,06071964,88,24,88,2,0
CC DUP,4265857806,María Hurtado,28101988,86,31,86,62,1
CC DUP,9007890931,Carlos Cifuentes,03041959,50,87,50,38,0
CC PV,4618467962,Sofía Perez,23122009,63,90,63,78,0
TI,2925223921,Melissa Perez,24042016,8,53,8,10,0
DCU,9960312791,Luis Cartagena,10041956,54,93,54,32,0
NIP,3017943059,Miguel Murillo,22111937,68,93,68,81,0
CC REC,0504853890,Luis Cartagena,10031946,25,10,25,32,0
TI,7977202972,Laura Rodríguez,11061967,47,51,47,11,1
DCU,1528307943,Ana González,17041994,52,91,52,74,1
DCU,9072444532,Daniela González,02101998,88,31,88,3,1
HLED-WEB,9806899274,Luis Cartagena,07111983,25,15,25,31,1
AFIS,5631592676,Luis Rodríguez,27101967,99,32,99,50,0
TI REN,1975232690,Gabriela Castaneda,18041996,66,22,66,25,1
CC DUP,9231896231,Laura Castaneda,15031926,73,31,73,65,0
SITAC,2484285341,Luis Cifuentes,06121919,11,74,11,16,1
DCU,0164595976,Carlos Hurtado,20051981,23,88,23,10,0
TI REN,4416530051,Melissa García,24091992,86,41,86,47,1
CCT,7918001972,Miguel Cifuentes,14031963,20,86,20,4,0
TI,3596273833,Carlos González,18121974,25,97,25,54,0
SIC,2792841904,David López,16091931,50,16,50,99,0
AFIS,1952764748,Marcela Hurtado,23091948,19,45,19,11,0
DCU,2975420841,Manuela Hernández,03041931,70,32,70,24,0
ANI,4026126985,Gabriela Perez,09091915,85,10,85,11,0
TI REN,5079787823,Daniela Hurtado,17061980,50,19,50,98,0
ABIS,8180334325,Gabriela Perez,01061944,85,98,85,38,0
CC PV,7421055197,Laura Cartagena,16031925,19,35,19,87,1
TI,4607373613,Miguel Murillo,20041929,18,20,18,24,1
SIC,6925746360,Miguel Hernández,16021982,44,51,44,73,1
CC DUP,7995492346,Melissa Castaneda,26101986,47,19,47,99,0
CC DIG,5796208722,Marcela López,20091966,13,30,13,93,0
CC PV,1534228064,David Cartagena,07032008,54,75,54,73,1
DCU,4015466914,Marcela Perez,05112006,11,60,11,55,1
TI,7080765371,Carlos Perez,13092004,19,22,19,44,0
TI,9208963952,Luis López,16101979,85,34,85,35,0
TI DUP,0010514750,Juan Castaneda,14111997,52,53,52,59,1
ANI,6070162006,Ana López,05071935,70,40,70,21,0
TI REN,1464985253,Miguel García,18031949,25,92,25,22,0
CC REN,5016477934,Carlos Rodríguez,03031935,81,20,81,6,1
TI PV,8225564472,María Cartagena,09041989,50,91,50,55,0
TI,4957632136,Carlos López,19021969,66,98,66,92,0
CC REC,4367090665,Laura Hernández,28121985,23,75,23,54,1
CCT,5564153454,Laura Hurtado,22071936,86,4,86,41,0
CC,2512357479,David López,27051930,73,59,73,35,0
CC DUP,4055167493,María Perez,22091995,70,3,70,22,0
SIC,0299642757,Manuela Perez,20052000,50,74,50,19,0
EIS,2348409015,Ana González,17041931,68,6,68,97,0
EIS,2673081504,Carlos Cartagena,10071935,27,75,27,20,0
CC PV,1278501045,María Hurtado,25031980,76,1,76,68,1
ABIS,3107220015,Carlos Rodríguez,09121994,97,31,97,100,0
CC DUP,2684675513,Marcela Hernández,04101933,81,53,81,6,0
TI DUP,8332961700,Laura Castaneda,09051977,66,77,66,81,1
CC DUP,7165396115,Ana Castaneda,02051956,20,86,20,78,1
DCU,2143228882,Juan Martínez,04101924,73,15,73,74,0
AFIS,4167884765,Manuela García,19122005,17,55,17,52,1
TI REN,9344012541,Juan García,11071932,70,22,70,54,1
EIS,0368760675,Marcela Perez,14051963,99,34,99,88,0
TI REN,4149943435,Laura Perez,16012000,97,35,97,10,1
TI DUP,1875842601,Melissa Cifuentes,27011926,91,55,91,22,0
CC,9772359981,Miguel Perez,22011920,70,83,70,16,1
CC REC,0199104474,María López,22071930,70,99,70,11,1
CC REC,6163752911,Sofía Martínez,03051946,68,97,68,87,1
TI REC,8232531675,Sofía Cartagena,14101961,25,79,25,34,0
MTR,1747210899,Ana Murillo,03011948,50,93,50,91,1
SIC,9545157471,Sofía Murillo,05082006,88,54,88,97,0
TI REC,2538578124,Juan Hurtado,08101970,88,86,88,97,1
CC REC,5254229104,Gabriela Hurtado,19051969,47,2,47,26,1
CC DUP,4358813070,David López,22071947,76,74,76,50,0
EIS,8008153030,Manuela García,12072008,13,38,13,78,1
CCT,9530636035,Melissa Cifuentes,11101959,47,29,47,20,1
CC REC,4416938311,Juan Cifuentes,23051973,68,99,68,62,1
DCU,1270351810,Daniela Rodríguez,03091992,17,68,17,32,0
CCT,4598653029,Carlos Rodríguez,26041996,54,25,54,2,0
CC PV,8539656141,Ana Hernández,23091959,25,50,25,60,1
CC DIG,8279676032,Marcela Perez,16062008,68,40,68,81,0
TI,6027555414,Miguel Perez,07071935,27,40,27,6,1
HLED-WEB,1490843290,Daniela Rodríguez,16051954,81,1,81,31,0
CC DIG,7613511080,Sofía Martínez,18041997,52,53,52,99,1
CCT,0793310754,Carlos Rodríguez,03111993,86,92,86,31,0
NUIP,3795777358,Manuela García,15101964,86,30,86,34,1
SIC,5538294354,Carlos Cifuentes,21021951,76,30,76,73,0
SIC,7149708911,Carlos Hurtado,02101934,52,53,52,25,0
CCT,3071084044,Melissa Cifuentes,17031930,18,86,18,19,0
AFIS,0667299892,Gabriela Hurtado,15031963,17,43,17,92,0
DCU,4596230120,Carlos Perez,03091954,13,74,13,88,0
NIP,4048988365,Carlos Perez,06121941,15,67,15,30,0
ABIS,0394661088,Daniela Martínez,13091974,19,87,19,36,0
AFIS,0683252219,Juan Hurtado,01081984,99,44,99,52,0
TI,4028765175,Ana Hernández,28041957,17,62,17,59,1
CC PV,1568913932,Miguel Hernández,19101999,95,30,95,19,1
SITAC,5614358264,Carlos Castaneda,26121985,19,100,19,99,0
MTR,6194709882,Laura Cartagena,05031931,85,16,85,98,0
ABIS,5746102914,Marcela Rodríguez,09111978,86,4,86,75,0
SITAC,5728841729,Ana García,18061945,13,45,13,34,1
TI,0841769506,Melissa Martínez,09011947,68,26,68,4,1
CC REN,1148993900,Juan Murillo,12011949,70,98,70,98,1
HLED-WEB,8948058815,Marcela Castaneda,01071927,13,21,13,74,1
TI REN,7824527997,Marcela Hernández,02031971,17,44,17,34,1
CC DUP,0407420752,Sofía Martínez,20111931,17,79,17,86,0
CC REN,9361322780,Daniela Martínez,13052009,54,20,54,92,1
DCU,3061015590,Marcela Cartagena,21041956,66,44,66,58,1
TI DUP,8328226506,Daniela Martínez,10061966,70,92,70,59,1
CC PV,5279073684,Laura Martínez,03071930,8,16,8,44,1
ABIS,1164872888,Laura Rodríguez,11081976,68,87,68,79,0
CC REC,2246095168,Daniela González,27022007,86,13,86,77,0
NUIP,1799605007,Carlos Martínez,18041936,17,81,17,2,0
TI DUP,2956934639,Juan Hernández,22081943,86,26,86,75,0
TI REN,2878665632,Marcela Perez,18061985,52,1,52,10,0
CC REN,1934424149,Melissa Perez,19051950,68,47,68,40,1
DCU,0583812910,Sofía Cifuentes,05011967,85,45,85,30,1
ANI,4225402882,Juan López,05031947,70,65,70,32,0
ABIS,9266179823,Laura Hurtado,11121969,91,15,91,62,1
HLED-WEB,1881675895,Daniela Hurtado,23091931,91,35,91,88,0
TI PV,7472317325,María Castaneda,19021951,47,19,47,30,1
MTR,6107140970,María Murillo,15031938,52,35,52,47,1
HLED-WEB,4790308874,Marcela Cartagena,10021970,50,97,50,87,1
ANI,2218602707,Juan Martínez,15031957,23,59,23,79,1
ANI,5051897411,Daniela Perez,22021935,27,98,27,94,0
CC REC,5618574078,María Murillo,21111980,70,26,70,99,0
CC DUP,1813144034,Daniela Rodríguez,28041960,76,6,76,62,0
MTR,0375577412,Luis Cifuentes,12051953,27,74,27,90,0
EIS,9290604066,Manuela Martínez,24101968,44,6,44,26,1
ANI,6974989283,Luis Rodríguez,10021928,13,4,13,41,0
ANI,4549420170,Melissa Cartagena,11101960,66,91,66,83,1
CC REC,4390873347,Ana Martínez,21121933,95,30,95,44,0
TI PV,5974518767,Gabriela López,06091955,54,60,54,3,1
TI PV,3911574629,Juan Cifuentes,05031960,23,21,23,4,1
NUIP,1046861215,Gabriela González,07042009,13,34,13,45,1
NIP,0111853603,Luis Castaneda,11041986,54,19,54,41,0
ANI,6930361085,Daniela López,18121984,27,90,27,10,0
ABIS,0192185455,Marcela García,10021949,66,32,66,86,0
NIP,5052857491,Juan López,09031902,76,79,76,3,0
TI REN,3402364572,Juan Cartagena,15041971,86,74,86,34,1
CC,5571206266,Manuela Cartagena,18081929,73,55,73,90,1
CC REN,5879831682,Marcela Martínez,28111979,73,93,73,73,0
ABIS,2206591672,Manuela Cifuentes,06102003,44,60,44,11,1
MTR,5262992371,Marcela Rodríguez,14072009,52,11,52,86,1
CC DIG,1831175543,Marcela Hernández,26031937,50,32,50,60,1
CC DIG,5896669599,Manuela González,01121968,95,74,95,21,1
CC PV,8406519879,Juan Martínez,07022004,94,100,94,26,1
SIC,9309048116,Manuela Castaneda,22121993,88,75,88,92,1
EIS,8756229816,Carlos Cifuentes,04012001,99,51,99,41,1
TI,2506192009,Marcela Murillo,13101983,13,3,13,41,1
TI PV,7410335058,Laura Perez,04011951,27,74,27,41,1
MTR,5627395805,Melissa Perez,05082001,99,91,99,77,1
CC REN,7922612485,Marcela Martínez,11111979,66,31,66,44,0
NIP,4058492288,Carlos Perez,22061956,99,45,99,78,1
HLED-WEB,9162168634,Ana Rodríguez,18061930,20,16,20,53,0
CC DIG,4910721182,María González,24121951,15,95,15,67,1
NUIP,0226410198,Ana Martínez,07101989,20,6,20,43,0
HLED-WEB,8757337344,Manuela García,04041948,86,36,86,30,1
CC,0148619811,Miguel Murillo,20092005,99,4,99,31,1
HLED-WEB,7757515183,David Hurtado,08071958,94,43,94,51,0
CC DUP,6341808261,Laura Perez,09021966,23,97,23,58,1
TI REN,8958067078,Laura Perez,14051943,88,94,88,54,0
CC REN,8353928743,Miguel Cifuentes,23071945,94,91,94,53,1
MTR,2879829930,Juan Castaneda,17031961,13,44,13,97,1
TI REN,0608038254,Ana Rodríguez,05101963,44,26,44,43,0
CC DIG,2052340978,Laura Rodríguez,14031971,44,68,44,2,0
CC DUP,2632956557,Laura Hernández,13091959,17,99,17,93,0
DCU,1388835271,Manuela García,16091969,13,34,13,55,0
SIC,4283310963,Luis Hurtado,04011952,44,30,44,1,1
ABIS,5440699408,Sofía Hurtado,05121982,76,40,76,93,0
SITAC,3266548512,Marcela Cifuentes,22051925,86,26,86,20,1
TI,6029300059,Melissa Murillo,07032024,97,73,97,44,1
AFIS,0379620296,Juan Martínez,22031977,85,51,85,54,1
TI REN,4031369713,Carlos García,21081925,23,59,23,75,1
SITAC,1969088694,Miguel García,16111968,86,6,86,6,0
NIP,4753961510,Manuela Castaneda,09111924,41,13,41,60,0
CCT,3790277534,David Cartagena,22021948,68,45,68,51,1
CCT,3871353720,Manuela Martínez,15031937,47,67,47,31,0
NUIP,4863787229,María Perez,03021951,20,1,20,65,1
AFIS,3429142709,Melissa Cifuentes,15071982,68,4,68,41,1
ANI,9629572316,David Hurtado,01071931,20,51,20,51,1
TI REC,9600557853,David Hernández,22011996,50,74,50,68,0
CC,5983309403,María Rodríguez,04021982,54,16,54,1,0
AFIS,2715943583,Melissa Hernández,03091962,27,87,27,16,1
CC,4802263328,Melissa López,16061925,13,87,13,65,1
SIC,3467968406,Sofía Cartagena,11111928,88,58,88,34,0
CCT,0606882856,Miguel Rodríguez,06041992,47,19,47,91,1
ABIS,2928992438,Sofía Castaneda,25111952,88,83,88,24,1
CCT,2597972217,Ana López,15111955,20,44,20,43,1
CC,3738254432,Juan Cartagena,24041927,13,41,13,94,0
DCU,1172817268,Carlos Perez,01071981,73,38,73,22,0
CC REN,4962990269,Ana Hurtado,05121981,95,65,95,51,0
EIS,3852497538,Gabriela Cifuentes,04111980,95,44,95,40,1
TI REN,8965140702,Melissa Hernández,20081924,11,65,11,100,1
CC REC,7992056576,Sofía Cartagena,07081942,63,45,63,59,0
CC DIG,2532532848,Carlos González,14061970,17,78,17,87,0
DCU,1351944580,Laura Castaneda,15071961,13,19,13,60,1
CC PV,3602174060,Gabriela Cartagena,12121956,63,78,63,32,0
HLED-WEB,9362706270,Luis Perez,01101976,88,93,88,42,1
ABIS,5090665571,David González,05061977,8,3,8,44,1
HLED-WEB,1785738171,Daniela López,24102007,50,42,50,25,0
TI,9839988440,Ana Perez,13052005,41,60,41,91,1
TI REC,8188536043,David Murillo,19021980,20,44,20,2,0
CC REN,3871211553,Ana González,05121960,68,74,68,98,0
ANI,6092962755,Miguel Cartagena,04121974,86,35,86,20,0
MTR,9396492954,Sofía García,10011992,66,6,66,91,1
EIS,1489312930,Luis Castaneda,08101997,5,83,5,59,0
AFIS,4815093290,Melissa Murillo,13111997,68,83,68,53,0
SITAC,0791584920,Marcela Castaneda,12041995,11,79,11,43,0
CC DUP,6954756445,Carlos Cartagena,16031946,97,86,97,36,1
ABIS,3638829653,David Perez,27091929,99,4,99,34,0
NUIP,7171310877,Luis González,01121935,81,50,81,30,0
CC DIG,2743849194,Luis García,17021962,81,1,81,93,1
NUIP,4853101549,Melissa Cartagena,08111970,44,99,44,10,0
DCU,3854635308,Carlos Cartagena,21021982,63,38,63,21,1
TI PV,1405623271,Juan Castaneda,11011947,91,35,91,75,0
TI REN,7029981635,Miguel Perez,10031987,94,2,94,4,1
TI REC,4921993774,Juan Murillo,03122011,63,22,63,73,1
NIP,8628271800,Marcela Castaneda,22081936,41,95,41,35,0
EIS,9138282342,Luis Murillo,21041987,15,47,15,6,0
CC DIG,0313519279,Manuela Hurtado,14081971,17,53,17,55,1
ABIS,6489559485,Carlos Hernández,21121947,94,87,94,43,0
TI REN,6212513326,David Castaneda,22052001,20,34,20,35,1
NUIP,3482319572,Marcela Cartagena,27101937,97,34,97,25,1
SITAC,5599679008,María Hernández,28011980,91,54,91,88,0
CC DUP,2679809519,Ana López,14051956,8,24,8,36,1
CC DUP,6935185818,David Rodríguez,02101955,5,59,5,77,1
ANI,0465750164,María Perez,11091926,47,98,47,98,0
TI REN,9795753725,Juan Hernández,13091946,66,65,66,58,0
ANI,7158200368,Laura Hurtado,27061924,68,93,68,22,1
CC REC,2019778464,Daniela Castaneda,08112010,68,60,68,19,0
HLED-WEB,3974087697,Sofía Rodríguez,20021941,54,73,54,26,1
SIC,0542242388,Juan Rodríguez,26122007,18,26,18,11,0
CC DUP,7499313800,María López,12022003,11,43,11,86,0
TI REC,2183499733,Melissa Rodríguez,21021995,88,30,88,11,0
CC REN,9473098847,Luis Rodríguez,08071999,73,50,73,15,1
SITAC,9172291967,Manuela Rodríguez,04111950,47,16,47,55,1
CC,3001866393,Miguel López,02041999,52,42,52,38,1
ANI,6579726666,Marcela González,13082009,41,41,41,41,0
MTR,9667138483,María Hurtado,05071938,5,26,5,45,0
TI PV,8700265647,David Murillo,18092001,91,10,91,99,0
SIC,5206233823,Melissa Hernández,01021955,44,99,44,93,0
AFIS,0994382431,Manuela Rodríguez,26091933,41,54,41,93,0
HLED-WEB,5486179772,Carlos Cifuentes,01031917,18,45,18,29,0
MTR,9587423959,Daniela Perez,14041951,27,65,27,1,1
CC PV,6441984173,Luis Murillo,19111971,50,54,50,31,1
CC DUP,5420850996,María Martínez,03071992,19,90,19,100,0
NIP,7340636471,Sofía Hurtado,09031996,95,42,95,15,1
AFIS,8192841414,Melissa Perez,23091932,17,54,17,1,0
AFIS,7093906956,Melissa Murillo,23041994,15,43,15,98,0
CCT,0594281309,Sofía Castaneda,05051974,25,26,25,2,0
NIP,4280050137,Sofía Murillo,19021930,13,1,13,47,0
CC REC,5471033849,Daniela Murillo,07012000,8,4,8,75,1
CC DIG,4008691169,Luis Martínez,27052001,70,75,70,93,1
MTR,4659915056,María Martínez,15061951,81,2,81,99,1
TI REC,4527437202,María Murillo,06091958,8,16,8,24,1
CC DUP,0722739709,Daniela López,03021973,76,99,76,32,0
MTR,9462475731,Luis Castaneda,06021989,47,34,47,6,0
ANI,7094088390,Luis Perez,11051929,76,58,76,29,0
SITAC,6377806098,Melissa Hurtado,12071937,91,99,91,77,0
EIS,6386099793,Marcela González,13081985,88,54,88,35,0
SIC,8490165625,María Cifuentes,11101984,99,91,99,38,0
TI REC,6231860633,Melissa Castaneda,10041936,52,35,52,24,1
TI REN,7805851546,David Martínez,04091990,70,32,70,58,1
TI DUP,1441360121,Luis López,27042004,99,11,99,75,1
SITAC,8625355227,Laura Rodríguez,16021940,52,83,52,79,1
MTR,9028184608,Gabriela Cartagena,17031966,68,78,68,58,1
CCT,5279489801,Luis Murillo,26011974,25,24,25,52,0
CC REC,3836920306,Manuela Perez,13041973,5,83,5,93,0
CC DUP,8181423633,Daniela Martínez,28041983,76,22,76,32,0
EIS,7958819873,Miguel Murillo,21111937,66,97,66,22,0
HLED-WEB,0977204911,Carlos Hurtado,25091937,47,42,47,59,1
CC,3492347438,Gabriela Castaneda,16041931,73,1,73,52,0
ANI,6362580812,María Castaneda,23021943,20,99,20,3,1
CC PV,1316435707,Marcela González,23082004,94,36,94,20,1
ABIS,5782607496,Sofía Castaneda,20121991,5,45,5,41,0
CC DUP,7607462120,Juan Castaneda,19041951,41,41,41,21,0
TI PV,9166962357,David Murillo,24121933,15,99,15,25,0
TI DUP,5701741356,Gabriela García,25011992,81,68,81,59,1
