tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
HLED-WEB,8698111485,Daniela González,13071995,70,97,70,22,1
CC REC,6698983150,Manuela Hurtado,06121982,70,44,70,98,1
CC,9536893145,Ana Cartagena,13051927,68,95,68,53,0
ABIS,1383316654,María Martínez,20051952,95,35,95,45,1
CC REN,6985064143,Daniela Murillo,24081959,17,98,17,91,1
TI REN,0171751439,Manuela González,18051970,95,38,95,67,0
TI REN,0593658919,Manuela Castaneda,17081993,47,79,47,2,1
CCT,9523332372,Miguel González,03011924,68,20,68,68,0
MTR,5163792978,Juan Martínez,19021965,81,47,81,53,0
TI REC,1612484188,Manuela Cifuentes,22041999,52,88,52,13,0
NIP,4004438169,Gabriela Cifuentes,13021953,97,87,97,4,1
TI DUP,2627754108,Carlos Perez,19011963,88,50,88,34,0
MTR,1710658150,Laura Hernández,28121947,11,97,11,99,1
MTR,4284279597,Gabriela López,14091951,70,79,70,13,0
TI REN,4825422976,Marcela Hernández,16121925,44,74,44,78,0
CC REC,3161092327,Ana Castaneda,05041953,19,24,19,97,1
TI REN,3677528284,Juan Martínez,03051962,15,58,15,24,0
NUIP,8809822282,Melissa Perez,02061988,85,29,85,20,1
SITAC,6301043194,Marcela Cartagena,28021992,54,77,54,4,0
HLED-WEB,6637176392,Manuela Cifuentes,06011979,95,77,95,94,1
CC PV,6553811397,Gabriela Cartagena,04081983,8,77,8,25,1
AFIS,1101654653,David Martínez,13102012,52,44,52,73,0
TI,8985342872,Sofía Martínez,08072002,70,22,70,36,1
TI,5085744371,Melissa López,05041959,63,75,63,54,0
CC,4997629600,Ana Perez,05111930,88,21,88,65,1
CC,3721032412,Luis Hurtado,08041963,20,59,20,24,1
CC PV,2740800524,Miguel Martínez,22091972,11,10,11,90,0
TI PV,3199365181,Manuela Castaneda,08041933,50,81,50,90,1
HLED-WEB,0803252725,Gabriela Hurtado,19052005,81,36,81,43,0
SITAC,6591654883,David Murillo,13121943,41,60,41,11,0
HLED-WEB,9941064660,Ana Hernández,18081993,19,74,19,1,1
ANI,0446774228,Ana Hernández,24062001,99,67,99,68,1
AFIS,9461642098,Gabriela González,12031930,11,44,11,2,0
SIC,3074918740,Melissa Rodríguez,10051979,97,65,97,92,0
TI REN,8588517696,Laura García,04091967,94,90,94,52,0
NUIP,9650895181,Juan López,09061937,76,20,76,98,1
TI DUP,1123754136,Marcela Rodríguez,20081993,99,53,99,15,0
EIS,8012399849,Luis Rodríguez,14061970,44,44,44,62,1
TI REN,7888861830,Miguel Cifuentes,20101983,76,87,76,54,1
CC DUP,0716427485,Daniela Murillo,26021929,66,34,66,44,1
SIC,1674570605,Daniela García,11011981,91,88,91,42,0
TI DUP,9463434977,Daniela Cifuentes,21051991,70,42,70,31,0
TI DUP,2652918015,María López,07081937,19,40,19,43,1
CC REN,8854383889,Sofía Murillo,28111988,86,59,86,22,1
CC DIG,6727801735,Sofía Cartagena,12111976,25,87,25,6,0
CC,9591044587,Daniela González,19071945,25,79,25,67,0
EIS,3302814098,Marcela Hernández,04111965,95,59,95,55,0
MTR,1773614177,Daniela González,01122009,99,35,99,92,1
DCU,3062387743,Juan Cifuentes,17032003,81,13,81,74,0
CC DIG,3145261057,Manuela Hernández,05111962,73,94,73,3,1
NUIP,8510795862,Melissa Martínez,01091934,97,6,97,60,1
CC DIG,0112885611,Miguel Rodríguez,19061970,18,79,18,44,1
DCU,5545453631,Luis Hernández,24081932,5,88,5,16,0
CC DUP,8873774350,Marcela Martínez,02021956,68,86,68,92,1
TI PV,2148347265,Marcela Hurtado,23051998,25,42,25,59,1
AFIS,6816647322,Carlos Castaneda,01121989,8,31,8,30,1
CC REC,1979240593,Daniela García,19121934,27,77,27,43,1
ABIS,7021043204,Juan López,08081974,63,41,63,1,0
EIS,8057248062,Gabriela García,22111961,19,13,19,13,1
CC REN,2451151176,Luis Perez,17101993,97,54,97,59,0
TI,6837205882,Carlos García,03051992,27,59,27,16,1
HLED-WEB,3294760574,Juan Cartagena,21101995,20,59,20,73,0
NIP,5583681239,David González,24022010,8,50,8,62,1
EIS,1150749597,Carlos Rodríguez,14011970,63,68,63,86,0
AFIS,5159620187,Ana González,11041942,66,26,66,36,1
SIC,7147287807,María Cifuentes,13111979,88,86,88,83,1
CC REC,9140813158,Gabriela Rodríguez,06021928,27,94,27,74,0
CC,3769570770,Daniela Castaneda,23052010,91,67,91,50,0
EIS,5015152238,Marcela González,08091978,19,52,19,65,0
TI,6125076727,Miguel Hernández,26061995,41,68,41,74,1
AFIS,1126366551,Laura Perez,25021926,25,87,25,90,0
SITAC,3983644549,Manuela Cartagena,06071988,94,90,94,62,1
CC DIG,6197851303,Ana González,19122002,86,45,86,83,0
CC REC,0391364690,Marcela Hernández,27121954,52,93,52,93,0
CC PV,2278002004,Juan Murillo,22021974,68,91,68,88,0
SITAC,7686807306,Juan Cartagena,28101953,70,31,70,20,0
MTR,1871487183,Melissa Murillo,27111983,94,26,94,55,0
NUIP,7840761542,Sofía Cartagena,03091984,25,86,25,31,0
CC PV,1517346938,Gabriela López,03091942,81,20,81,1,1
CC,4304226038,Gabriela López,14121962,73,35,73,45,1
CC REN,5033711481,Manuela Rodríguez,02101963,70,75,70,79,0
SIC,5858500459,Manuela Perez,18101989,81,30,81,16,1
CC PV,2156265979,Sofía García,03101936,86,3,86,97,1
ANI,1900159689,Juan Martínez,21011965,5,97,5,42,1
TI DUP,1094391576,Luis Hernández,09021955,18,40,18,88,0
CC DIG,5940140283,Carlos Hurtado,27011966,8,91,8,53,1
CC REN,2206319342,Marcela García,20121969,41,25,41,40,0
EIS,4757990455,Miguel Perez,10021988,66,41,66,77,0
AFIS,1231985451,Miguel González,01111940,76,2,76,35,1
NIP,1358777413,Manuela Hurtado,23101997,68,90,68,53,1
ABIS,4557113687,María Perez,24071945,73,67,73,75,1
CC,6184583615,Carlos Hurtado,08092003,15,74,15,31,0
CC PV,8390598267,Ana Martínez,10111973,54,68,54,1,1
ANI,6818286403,Manuela Rodríguez,02122005,70,51,70,94,1
TI REN,8633023870,Manuela Murillo,15071996,99,83,99,78,1
TI REN,9853214026,Melissa Murillo,07022007,18,1,18,44,0
CC REC,6401713816,Luis López,09021988,27,52,27,47,1
CC PV,2140794555,Laura Castaneda,07021997,94,95,94,15,1
CC DUP,0703560414,Carlos García,26081950,70,60,70,95,1
CC,8924773198,Gabriela Murillo,17071994,99,15,99,4,1
TI,6718836147,Juan Murillo,19021945,73,94,73,58,0
TI PV,4754024086,Luis Hernández,26011905,52,25,52,40,0
TI DUP,5670878974,David Hernández,16061994,50,88,50,38,1
CC REC,9332625757,Miguel Cifuentes,09111995,63,35,63,73,1
TI,7968252267,María Perez,26051981,81,45,81,21,1
DCU,8085243422,Sofía Hurtado,17041988,18,88,18,74,0
SITAC,3065245280,Gabriela Hurtado,28051964,73,90,73,81,1
CC PV,8740504063,Manuela Perez,25061995,81,13,81,16,0
HLED-WEB,2852293421,Luis Cifuentes,19031997,8,73,8,25,1
TI REN,3199720432,Carlos González,05011942,17,94,17,30,0
CC REC,1308110829,María López,17071961,86,98,86,13,0
TI DUP,0328946848,Miguel Castaneda,15071975,11,91,11,78,0
TI REN,9118877668,Carlos Martínez,16091925,88,99,88,60,0
TI PV,0005255974,Melissa López,21101998,19,98,19,51,0
TI DUP,7577693438,Luis Castaneda,17061980,8,32,8,4,0
CC REN,3500143407,Laura Hernández,22031943,97,60,97,58,1
HLED-WEB,6209079394,Carlos Rodríguez,11011992,44,13,44,20,0
CC DIG,4863068360,David González,11061939,85,97,85,43,1
ANI,0208650166,Ana López,08021954,11,1,11,99,0
EIS,4523726245,Miguel López,09021990,13,26,13,30,0
CC REC,7933808047,Juan Cartagena,01051995,11,31,11,3,0
HLED-WEB,4221293755,Melissa Murillo,02021953,15,4,15,32,1
CC DIG,6646940849,Carlos Hurtado,25101944,70,13,70,19,0
TI PV,0192838290,Manuela Martínez,24091938,81,51,81,62,0
TI REN,3367718240,Gabriela Martínez,10071961,85,100,85,95,1
SITAC,9734383973,Carlos Rodríguez,07091964,68,25,68,35,0
DCU,7847175792,Gabriela Castaneda,11031979,99,68,99,53,1
TI PV,1880871937,Sofía Cartagena,22081951,8,45,8,43,1
CC REC,9827433968,Juan González,24101973,86,83,86,73,1
NIP,2193203653,Gabriela Martínez,10021997,54,50,54,98,1
AFIS,6257684462,Sofía García,24081924,17,32,17,42,0
TI REC,1752913528,Marcela Perez,26062016,25,95,25,24,1
AFIS,8389037356,Marcela González,01031976,25,16,25,4,0
MTR,3375629540,Miguel Hurtado,02032002,70,29,70,31,0
CC REC,1460613596,Marcela Murillo,21072008,66,1,66,47,1
ABIS,7392991384,Laura Hurtado,27101971,19,22,19,15,1
TI DUP,0518018875,Laura Hurtado,15031932,20,38,20,29,0
NUIP,3604576013,Luis Castaneda,04101935,88,81,88,81,1
ANI,6458512703,Miguel Castaneda,21121983,70,54,70,77,1
SIC,6709505898,Sofía Murillo,26031941,25,62,25,43,1
ABIS,7028314284,Carlos Perez,13061968,86,47,86,86,1
TI PV,7266053906,Sofía Hurtado,16062009,52,94,52,91,0
TI REN,9127151027,Luis Martínez,16041944,8,25,8,74,0
SITAC,2649901395,David Hernández,25011942,13,77,13,78,1
AFIS,0492939320,David García,28121932,95,15,95,88,0
TI,0802967365,Marcela Cifuentes,19122006,13,51,13,88,0
AFIS,9918662844,Marcela Martínez,08011952,8,21,8,50,1
NUIP,1103282205,Luis Rodríguez,13031928,97,79,97,77,1
TI DUP,8876886635,Daniela Murillo,06102007,63,16,63,59,1
NUIP,5589516852,María Perez,05121932,76,74,76,87,1
SITAC,7997941494,Carlos Murillo,21101997,20,26,20,75,1
TI DUP,2950179794,Melissa González,18041970,41,19,41,53,1
NUIP,0965230475,Carlos Rodríguez,11041963,99,86,99,15,0
ABIS,3525077948,Carlos Murillo,07061952,99,25,99,67,1
CCT,4019350161,Ana Cifuentes,05081940,15,47,15,10,1
EIS,7088771442,Ana Castaneda,15111995,50,83,50,55,1
CC REC,8931074677,Daniela García,23051977,70,34,70,2,0
TI DUP,2989801269,Juan García,16121953,8,42,8,35,1
CC PV,9296617790,María Murillo,05111929,54,4,54,44,0
TI DUP,1406935654,Laura Martínez,04051959,44,44,44,58,1
AFIS,1957751446,Laura Murillo,25011997,5,91,5,31,1
AFIS,3874897842,María García,07081980,5,59,5,77,0
TI REC,4520584864,Marcela Martínez,03031950,25,44,25,53,0
SIC,8479706250,María González,03041961,15,6,15,73,1
TI REN,6772617512,Luis Cifuentes,08031981,11,11,11,13,1
SITAC,1887729499,Marcela Hurtado,24101980,44,93,44,75,1
TI REN,5470775870,Carlos González,04011983,15,79,15,88,0
AFIS,4967505229,Melissa García,13041988,63,47,63,32,1
AFIS,9147103281,David Martínez,26061954,63,59,63,77,0
TI REN,9802547932,Juan Murillo,02051988,76,62,76,1,1
ABIS,2068326668,Gabriela Hurtado,27021942,17,65,17,92,1
ANI,2871150254,Gabriela González,01011967,94,60,94,38,1
HLED-WEB,0850819830,Daniela Murillo,19121996,95,74,95,91,1
ABIS,0543034069,Luis Perez,23101949,54,79,54,73,1
CCT,9135621265,Melissa Martínez,04111966,5,32,5,45,0
TI PV,1760354309,Ana Castaneda,18062008,63,36,63,4,0
MTR,4321627495,Marcela Murillo,26011962,17,93,17,93,1
MTR,9238654572,David Hernández,27092005,54,77,54,92,1
SIC,7244475952,María García,21021952,19,47,19,36,1
MTR,1883093061,Carlos González,28081974,25,98,25,50,1
MTR,5127241320,Juan Perez,04081977,54,60,54,40,1
DCU,6500094552,Daniela Castaneda,25052006,97,11,97,94,0
ABIS,8876428137,Daniela López,12071975,17,95,17,4,1
AFIS,1503893285,Sofía Hurtado,11051940,86,79,86,59,1
CCT,7822116819,Laura Cifuentes,13081942,70,87,70,75,0
MTR,0172321612,Daniela Castaneda,18011957,70,13,70,15,1
EIS,7788172420,Melissa Castaneda,01071946,94,81,94,16,0
ANI,1702591262,Juan Cartagena,02111952,91,74,91,2,1
MTR,7583192374,Carlos Cifuentes,26111987,27,68,27,30,1
DCU,8760252621,Carlos González,20041968,95,4,95,1,0
ANI,1000339303,Miguel García,06051995,50,29,50,59,1
TI PV,8355651208,Daniela Martínez,11121932,85,31,85,97,0
CC REN,3255811384,Gabriela Cifuentes,15041984,25,65,25,99,1
CC PV,6129689518,Sofía Rodríguez,14091931,66,62,66,92,0
TI,8955483395,Sofía Perez,14102008,54,86,54,13,1
EIS,7954933428,Luis Martínez,20082004,5,83,5,36,1
CC DIG,5639784215,Miguel Hurtado,02111991,97,92,97,24,0
CC PV,8235913966,Manuela Cartagena,21112005,68,41,68,25,1
CC DIG,8866883870,Sofía Cartagena,23111988,66,51,66,74,0
ABIS,0060016762,Melissa Rodríguez,18031969,20,53,20,78,1
CC PV,9684626807,Melissa González,09021941,25,94,25,26,0
DCU,0475870064,Laura Cifuentes,06081965,68,79,68,34,0
NIP,7457561493,Gabriela Hurtado,25081968,11,100,11,83,0
SITAC,4217185054,Melissa Murillo,07101987,73,4,73,86,0
TI REC,4699551317,David Rodríguez,26031993,20,42,20,41,0
TI REC,4584382096,María Cartagena,18021948,88,21,88,29,0
CC REN,9478474291,Gabriela Cartagena,25121921,8,26,8,86,1
DCU,1012916073,Daniela Perez,11091950,95,38,95,43,0
NIP,5564838782,María Castaneda,16021950,23,51,23,4,0
NIP,0198827794,Ana Hernández,18101934,86,10,86,26,1
SIC,1531044071,David Cartagena,17051981,99,53,99,91,0
CCT,9057446609,Marcela López,22051960,47,90,47,62,0
TI REC,3483067368,Laura Murillo,07011946,63,30,63,60,0
NUIP,7888614918,Melissa Hurtado,11082002,44,30,44,6,0
TI REN,5858617108,Gabriela García,19061995,76,26,76,19,0
CC DUP,7275598629,Luis Hurtado,23111936,86,94,86,24,0
HLED-WEB,3918275946,Ana Cifuentes,12071987,91,47,91,67,0
TI DUP,4581083446,Laura Perez,08071971,20,62,20,36,1
HLED-WEB,6759689230,Manuela Hurtado,06021944,8,29,8,4,1
EIS,5669158314,Sofía Martínez,26042001,86,6,86,21,0
TI PV,9093917545,Sofía Cartagena,02021960,99,81,99,87,0
TI DUP,0998069442,Marcela Hernández,07101970,50,16,50,15,0
CC REN,7508576534,Carlos Castaneda,12081980,11,67,11,40,1
TI DUP,8421419408,María González,14071971,17,40,17,77,1
SITAC,2795514053,Gabriela Hurtado,13082002,73,97,73,32,1
ABIS,3310103233,Daniela Murillo,03101929,91,60,91,79,1
NIP,9596880744,Luis Rodríguez,26021924,27,24,27,21,1
CC REC,6762251879,Laura Martínez,19041994,25,2,25,60,0
MTR,6947373526,Luis López,24031953,81,47,81,31,1
TI,0292281530,Luis López,23011934,8,29,8,41,1
CC REC,6386855486,Miguel Cifuentes,12081990,88,43,88,62,0
AFIS,3407448990,Ana Hernández,25041958,18,68,18,26,0
HLED-WEB,3570617910,Juan Hernández,04011968,23,20,23,87,1
AFIS,1472217625,David Rodríguez,17092008,47,42,47,15,0
DCU,9253506720,David Cifuentes,19041952,66,77,66,51,1
TI REC,0082385590,Luis Murillo,26011993,97,50,97,16,0
TI REN,4053978397,Ana Hurtado,16071987,70,32,70,47,0
TI REN,2295168482,María López,11031999,8,44,8,88,0
CCT,6779846376,Juan González,26011987,17,10,17,41,0
TI,5752887347,Luis Hurtado,12022007,76,59,76,10,1
TI DUP,5834353797,Sofía Hernández,22091967,91,34,91,73,0
CC REC,8642765707,Luis Castaneda,03101937,54,32,54,36,1
CC REN,1887617560,Laura Rodríguez,01042003,19,26,19,52,0
TI REC,4556791844,Laura González,17021930,52,22,52,38,0
TI DUP,1057124233,Gabriela Rodríguez,09111941,18,95,18,26,1
SITAC,4002638037,Ana López,07031945,27,58,27,36,1
ANI,3816188979,Ana Martínez,06011949,86,99,86,34,0
MTR,8550123340,Laura López,13051935,68,2,68,91,0
SITAC,9171958126,Luis González,14051977,86,68,86,100,1
CC DUP,3462472021,María Hurtado,15051956,47,10,47,47,1
HLED-WEB,5012199035,Carlos Hurtado,01011939,95,19,95,47,1
SITAC,4854421389,Carlos Murillo,10101976,52,4,52,95,1
ABIS,0465705757,María González,21091990,41,86,41,83,0
NUIP,2925686039,Sofía Perez,13051956,5,52,5,42,1
EIS,8669090969,Ana Castaneda,04051994,88,1,88,25,0
TI,7126279190,Gabriela Perez,17041928,27,21,27,36,1
TI REN,0273807297,Miguel Perez,06031934,91,78,91,1,0
AFIS,3155046201,María Castaneda,16051954,86,38,86,29,1
CC REN,3923576261,Ana Hernández,11011978,95,6,95,87,1
TI PV,0543729168,María Murillo,08091977,19,59,19,40,1
HLED-WEB,8520751155,Gabriela Castaneda,06061989,97,15,97,16,1
EIS,3176249010,Manuela Hernández,18061941,76,38,76,47,1
TI PV,7454218144,Carlos López,28071948,76,40,76,79,1
MTR,4508128225,Sofía Castaneda,26082000,11,15,11,11,0
TI,7694999316,Marcela Cartagena,14051972,25,26,25,32,1
TI PV,5223850566,Manuela Martínez,08021931,19,59,19,58,0
TI REC,7579911349,Juan Cifuentes,05081970,73,91,73,90,1
ANI,8276810360,Laura Martínez,22081989,70,75,70,98,1
NIP,0645678260,Melissa Cartagena,09021980,5,35,5,22,0
CC REN,5429058697,Sofía Martínez,20091995,41,35,41,11,0
HLED-WEB,8362597297,Marcela Castaneda,28011973,11,87,11,43,0
NIP,9857830535,Sofía Murillo,06091924,11,93,11,83,1
AFIS,7846571717,Sofía Martínez,27032005,27,58,27,34,1
TI REN,4750321068,Laura Murillo,11021930,19,75,19,6,0
NUIP,7078466948,Juan Martínez,01071936,63,73,63,92,0
MTR,9758698144,Sofía López,20051900,94,73,94,98,1
TI REC,1050806728,Marcela Hernández,19061961,68,16,68,73,1
TI DUP,5211402057,Sofía López,11041928,17,20,17,100,1
DCU,1317307744,Juan Cartagena,26072002,76,29,76,2,0
HLED-WEB,2657168876,Marcela Perez,06121957,15,2,15,79,1
CC REN,9796748052,Marcela Perez,01072008,91,67,91,74,0
CC REC,3412625753,Manuela Murillo,13021987,54,24,54,13,1
CC PV,0601271635,Juan Hurtado,11021962,63,16,63,99,1
CC,9378522708,David González,28092005,17,83,17,40,1
MTR,0698831133,Luis López,25081990,23,100,23,34,0
TI,3200548220,Laura Cifuentes,16032008,91,75,91,26,0
ABIS,6663039666,Daniela Martínez,16091982,63,88,63,36,0
CC,9566770512,Daniela Hurtado,06041944,13,99,13,29,1
ANI,3151547311,Melissa Martínez,08091985,23,25,23,58,1
NUIP,4205698047,María Perez,04051941,94,11,94,100,1
TI,3864986610,Laura García,22031955,99,38,99,22,0
ANI,1393288221,Ana Murillo,02121987,15,32,15,29,0
TI PV,8526790140,Sofía Cifuentes,20122002,18,36,18,15,1
SIC,5898259769,Daniela Hernández,26111988,5,65,5,20,1
TI DUP,6036743136,Juan Hernández,11091951,99,45,99,35,1
MTR,3765877863,Daniela Castaneda,04081978,86,77,86,19,0
MTR,6290314683,Sofía Castaneda,11101991,54,73,54,3,0
CCT,7225825917,Gabriela Cartagena,14092008,73,54,73,21,1
TI REN,9071092727,Juan Murillo,23121937,13,32,13,94,0
CC REC,3834774380,Manuela González,01061996,73,42,73,4,1
CC REN,8899850815,Juan González,10051958,91,20,91,100,0
AFIS,0834297085,Melissa Cifuentes,01041999,27,83,27,99,0
TI PV,6676873421,David López,11052006,70,54,70,50,1
CC PV,2432631250,David Martínez,10041997,18,3,18,98,0
TI REN,6718822532,Marcela Cifuentes,09041992,41,31,41,68,0
CC PV,1141555981,David Perez,04071993,27,62,27,43,0
CC,3678581328,Gabriela Hernández,08031978,63,68,63,11,0
CC DIG,9268988481,Ana González,03031951,19,88,19,20,1
DCU,4450587555,Luis Murillo,11091945,23,44,23,30,1
CCT,2187579316,Ana Cartagena,06121972,50,93,50,26,0
CC DIG,9613302723,Laura Martínez,03041993,8,6,8,78,0
CC,1726872847,Laura Martínez,27052008,97,24,97,44,1
HLED-WEB,7839505945,Marcela López,11032004,91,11,91,86,1
CC DIG,2741924549,Daniela Cartagena,12121924,54,65,54,47,0
CC REC,6601745923,Laura Perez,19061929,73,78,73,45,0
DCU,3006263515,Melissa Cifuentes,11072000,15,98,15,67,1
MTR,9125695083,Ana González,17031994,94,40,94,4,1
ABIS,5830463519,Sofía Perez,24041943,41,91,41,55,1
EIS,5815448817,Daniela Rodríguez,10041936,44,62,44,43,1
TI DUP,2359754364,Manuela López,19022008,47,95,47,45,1
AFIS,3071147555,Juan Hernández,17061930,44,38,44,91,0
CC PV,2327065705,Miguel Martínez,27061978,13,21,13,35,0
MTR,5686432113,Gabriela López,13031962,20,3,20,58,0
TI DUP,4203074195,María Cartagena,24121962,41,86,41,99,1
HLED-WEB,5530435882,Miguel Perez,20031962,99,24,99,74,0
CC REN,9629941547,Carlos Martínez,12041947,70,40,70,47,1
CC REN,7811769701,María Cartagena,24071981,86,50,86,77,1
CC REN,4368430805,Laura González,14012003,81,43,81,40,0
TI,1394278005,Juan Cartagena,07012007,25,53,25,100,1
CC REC,6294647308,Daniela Martínez,08081984,95,1,95,87,1
TI REC,6261047010,Marcela García,09061965,66,51,66,4,0
TI,0745677105,Manuela Cartagena,13081955,44,43,44,54,1
TI DUP,9662489064,Laura Hurtado,22052005,13,53,13,87,1
TI PV,7000258499,Miguel González,21101973,17,22,17,4,0
TI REC,3395208594,Miguel Rodríguez,23071955,44,19,44,81,0
TI PV,4935287722,Manuela García,28072006,5,100,5,3,1
MTR,0417924644,David Martínez,04051958,15,41,15,67,1
ABIS,2690486533,David Rodríguez,05071962,20,26,20,43,1
SIC,9531571259,Carlos Martínez,27081959,88,43,88,11,1
CC PV,4145777061,Daniela Murillo,20051974,66,91,66,16,1
NIP,7072008479,Manuela Hurtado,25051968,44,77,44,58,0
CC REN,7333409693,Melissa García,10061956,18,13,18,53,1
CC REC,2608930095,María Hurtado,26121951,95,68,95,41,0
CC REN,5308551300,Manuela Hernández,11111996,52,55,52,50,0
HLED-WEB,9720628708,David González,26061973,54,52,54,43,1
ANI,2798996440,Luis Murillo,22051938,68,79,68,90,0
CC REC,4763497149,Luis Cifuentes,05121930,68,95,68,97,1
NUIP,6815324502,Carlos García,17052001,54,87,54,1,1
AFIS,7065849364,Manuela Hurtado,04091976,52,77,52,65,1
TI,0341120802,Marcela López,16021989,44,90,44,4,0
AFIS,8124139751,María González,08021979,20,45,20,10,1
ABIS,5374287853,Miguel Rodríguez,28121988,18,74,18,41,0
MTR,1866989748,Laura Murillo,16031925,41,93,41,65,0
TI DUP,2370043917,Juan Cifuentes,23031945,27,87,27,94,1
NUIP,1722194582,Juan Hurtado,02031991,17,15,17,45,0
CC,3771102311,Luis Hurtado,04041984,81,99,81,75,1
TI,2217262498,Carlos Hurtado,23052006,95,90,95,83,0
TI REN,5857761849,Juan Hurtado,06041989,99,74,99,79,0
CC PV,7512717971,Carlos López,11071964,8,93,8,90,1
ANI,9722126660,Laura Murillo,06071973,73,19,73,2,0
TI,5479945976,Daniela Cartagena,10101999,68,86,68,42,0
TI REC,1270461301,David García,16011985,70,90,70,24,0
ANI,8786917696,Marcela Cartagena,15021996,94,15,94,92,0
TI REC,0595642762,María Perez,03051988,15,47,15,92,0
CC REN,0092081509,Ana López,12111937,5,75,5,81,1
HLED-WEB,6470817774,Juan Cartagena,01011981,97,88,97,25,0
MTR,4995552827,Sofía Hernández,22021973,63,50,63,65,1
CC DIG,4091381891,Daniela Murillo,20091992,54,100,54,30,1
SITAC,2871567051,María Perez,18071991,5,60,5,25,1
CC REN,9167273564,Manuela Perez,02101972,52,21,52,74,1
MTR,3690028855,Sofía Martínez,10082007,27,94,27,88,0
TI REC,6367805060,Sofía Hernández,01041999,91,73,91,34,1
CC,9796094846,Juan Perez,08021926,66,77,66,51,0
CCT,3932935909,Carlos Castaneda,12111942,17,67,17,87,0
TI,6558555090,Luis Murillo,11091976,19,73,19,47,0
CC,2617396826,Carlos Cifuentes,22091939,70,73,70,32,1
CCT,1853780920,Gabriela Martínez,23071973,81,68,81,55,0
MTR,4666892819,María Hurtado,20072009,97,62,97,94,0
SITAC,4935810486,Daniela González,24111947,85,83,85,75,1
NUIP,4520187804,Daniela Cartagena,04111931,20,42,20,99,0
TI,0193553125,Carlos Rodríguez,15121936,66,54,66,31,0
MTR,9557836629,Miguel Rodríguez,05011991,73,34,73,59,1
MTR,0941691448,Juan González,01051968,94,42,94,78,0
ABIS,6360884786,Miguel Cartagena,17042008,13,21,13,65,0
EIS,1025573916,Carlos Perez,05051975,99,34,99,6,0
CCT,0323213924,Gabriela Murillo,22011925,27,97,27,79,0
SITAC,5381378166,Miguel García,19011944,99,91,99,32,0
SITAC,4736842908,Juan García,09051943,66,43,66,35,0
NIP,3903011163,Daniela Martínez,12111966,95,30,95,90,0
CC REC,9142908591,Miguel García,03091947,76,21,76,2,1
CC DIG,7734731876,Ana Hernández,09011961,52,62,52,41,1
SITAC,9881878571,Ana Cartagena,01102005,5,83,5,91,1
CCT,5128668204,Ana Murillo,25071979,73,40,73,40,1
CC REC,4919807125,María Hernández,02041956,13,93,13,25,1
TI REC,6991932151,Manuela Hurtado,09091945,52,60,52,3,0
HLED-WEB,8816895564,David Martínez,27031982,70,65,70,62,1
TI REN,6969207873,Melissa Castaneda,28041970,54,26,54,92,1
TI REN,9678123040,Luis Hurtado,03031961,85,6,85,87,0
DCU,0506092767,Manuela Castaneda,03021925,54,62,54,47,1
CC REC,4921937166,Juan Perez,28121960,85,22,85,90,1
EIS,9487012292,Marcela Perez,11031944,81,86,81,75,0
CCT,8526341828,Juan Cifuentes,04051948,20,32,20,41,0
TI REN,9171002724,Daniela Perez,10072016,70,93,70,4,1
TI REN,5970708529,Manuela Murillo,24121983,50,86,50,47,0
TI,8124464739,Manuela Hurtado,19051976,13,42,13,100,0
CC DUP,8608168505,Marcela Cifuentes,26061968,17,40,17,94,0
TI DUP,3451897563,Gabriela Rodríguez,13021951,63,35,63,81,0
SIC,6753278193,Luis Castaneda,23081963,8,30,8,40,0
CC REN,6937245037,Daniela Hurtado,07091963,47,1,47,79,0
ANI,7161514869,Juan Castaneda,23101996,27,83,27,67,1
CC PV,5932716870,Sofía López,08071940,44,55,44,79,0
TI PV,4583497280,Sofía González,26122000,19,93,19,54,0
CC DIG,9303965822,Miguel Cifuentes,16071961,94,44,94,1,1
TI DUP,5682382754,Gabriela Martínez,25111932,54,16,54,35,0
CC REN,3788633711,Laura Martínez,27061971,19,41,19,68,0
NUIP,1629942730,Carlos Martínez,27021969,76,54,76,99,0
NUIP,8394569805,María Rodríguez,08121980,70,91,70,62,0
CC REN,8908268779,Laura Cartagena,11071978,18,45,18,100,1
CCT,8257532923,Gabriela Perez,05011925,88,93,88,73,1
CC REC,8261036016,David Rodríguez,14112009,88,4,88,11,0
SITAC,2490003738,Manuela López,01111946,86,47,86,2,1
DCU,3172871736,Juan Perez,20011924,5,97,5,90,0
CCT,4872794866,Melissa Perez,22011962,19,43,19,6,0
AFIS,8095120542,Sofía Rodríguez,12031992,88,98,88,20,0
CC DUP,2170197708,Manuela Rodríguez,02072015,52,20,52,58,1
HLED-WEB,8145522113,Miguel Perez,28101962,8,21,8,6,1
HLED-WEB,3608723923,David Murillo,18091965,85,3,85,6,0
SIC,8277481749,Manuela González,27061966,17,55,17,65,1
ABIS,2434333404,Luis Perez,10051965,20,83,20,88,0
EIS,5844145043,Luis Cartagena,06032007,99,31,99,95,1
MTR,1104792434,Luis Castaneda,14031951,70,78,70,34,0
TI PV,0252789681,Miguel Cifuentes,21061975,41,98,41,20,0
NUIP,6821732157,Melissa Castaneda,15061993,13,45,13,32,1
SITAC,4747021061,Luis Murillo,12101987,19,75,19,1,1
ABIS,3013049649,Ana Castaneda,26091946,85,26,85,95,1
